question,target,answer_0,answer_1,answer_2,answer_3,answer_4,answer_5,answer_6,answer_7,answer_8,answer_9,answer_10,answer_11,answer_12,answer_13,answer_14,answer_15,answer_16,answer_17,answer_18,answer_19,answer_20,answer_21,answer_22,answer_23,answer_24,answer_25,answer_26,answer_27,answer_28,answer_29,answer_30,answer_31,answer_32,answer_33,answer_34,answer_35,answer_36,answer_37,answer_38,answer_39,answer_40,answer_41,answer_42,answer_43,answer_44,answer_45,answer_46,answer_47,answer_48,answer_49,target_out_of_vocab
"which photographer and artist was born in yonkers
",Elizabeth Gill Lui,John Lennon,John Lennon,John Lennon,John Dewey,Louise Anselmo,Ansel Adams,John Dewey,Carl Stallings,J. W. Griffith,John Cage,John Dewey,"John Cage, Jr.",Georges Braque,John Cage,Claude Monet,Carl Stuckey,Carl Stalling,John Deeds,John Cage,John F. Keeler,John Dewey,"John Cage, Jr.",John Cage,John F. Kennedy,Louise Anselmi,Roberto Cavalli,John S. Dewey,John Cage,John F. Kennedy,Claude Legrand,Paul A. Levy,"John Cage, Jr.",Robert A. Heinz,John Lennox,John Cage,Louise Adler,William H. Burrough,Louise Ansel Adams,George S. Scott,Richard E. Greenberg,Paul A. Levesque,John Lennox,Paul A. Levine,Paul Adler,Richard Adler,Robert A. Sullivan,Georges Braquet,Robert A. Smith,John Sullivan,Robert A. Deutsch,False
"Who is the artist for the piece, el rio de luz?
",Frederic Edwin Church,Yoko Ono,Yoko Ono,Carlos Santana,Yoko Ono,John Lennon,Carlos Santana,Yoko Ono,David Bowie,John Lennon,Pablo Casals,Carlos Santana,Yoko Ono,David Bowie,Alicia Keys,J. S. Bach,Pablo Casals,Carlos Santana,José Martnez,David Bowie,Yoko Ono,Roberto Clemente,Alicia Keys,Carlos Santana,José Martnez,Carlos Santander,David Bowie,Yoko Ono,Alessandro Michele,José Martnez,David Bowie,Carlos Santana,José Martn,José Martnez,Carlos Santander,David Guetta,David Guetta,José Martn,Pablo Picasso,José Andrés,Pablo Casal,Pablo Picasso,Pablo Casal,José Andrés,Elvin Jones,Luis Buérrez,John Williams,Axelle,John Williams,John Le Carré,John Le Carré,False
"who was born in antwerp
",Meir Brandsdorfer,Hendrik van der Merwe,Henk van der Merwe,Joost van der Merwe,Axel van den Berg,Hendrik van der Velde,Joost van der Merwe,Henk van der Merwe,Axel van den Berg,Joost de Vries,Jan van der Merwe,Bert de Vries,Hendrik van der Velde,Joost van den Berg,Joost van der Merwe,Henk van der Merwe,Joost van den Broek,Jan van der Merwe,Joost de Vries,Joost van den Berg,Bert de Vries,Joost van den Bergh,Hendrik van den Broeck,"Bert de Vries, Jr.",Joost van der Merwe,Joost de Vries,Jan van der Merwe,Joost van den Berg,Joost van den Bergh,Hendrik van den Berg,Joost van den Berghout,Joost van den Bergen,Jan van der Merwe,Jan van den Berg,Joost van den Broeck,Joop van der Merwe,Jan van der Velde,Hendrik van den Berg,Jan van den Berg,Jan van den Berghoof,Joop van Zyl,Jan van den Bergen,Joost van der Merwe,Jan van den Bergh,Joost van den Berg,Joop van Zanden,Bert van den Berg,Bert van der Merwe,Joop van den Bergen,Jan van den Berg,Joop van Zylen,False
"who is a goalkeeper in football
",Adilson Cândido de Souza,Yuri Gagarin,Yuri Gagarin,Alessandro Aranda,Yuri Gagarin,Yuri Gagarin,Luiz Feliciano,Jermaine Dubé,John O'Brien,Yuri Gagarin,Luiz Feliciano,Alessandro Serra,Yuri Gagarini,John O'Brien,Ivan Ilyinski,Yuri Gagarini,Ivan Ilyin,Yuri Garayev,Ivan Ivanovic,Alessandro Serra,Ivan Ilyinski,John O'Brien,Yuri Gagarini,Ivan Ilyin,Sasha Ghosh,Ivan Ivanovic,Luis Alonso,Luiz Felipe,Yuri Gagarino,John McLean,Yuri Gagarini,Ivan Ilyinska,Yuri Gagarino,John McLean,Sasha Ghoshal,Ivan Ilyinska,Michael Aylward,Svendsen,John McLean,Michael Ayala,Luiz Fernando,Yuri Gagarino,John McLean,Yuri Garay,John O'Brian,John O'Brian,John McAdam,John McAdams,Michael Aylwardt,John O'Brian,Michael Aylwardsen,False
"what type of game is the ncaa football 07
",multiplayer video game,single-player video game,single-player video game,sports video game,single-player video game,sports video game,single-player video game,sports video game,single-player video game,sports video game,single-player video game,sports video game,single-player video game,sports video game,sports video game,single-player video game,sports video game,single-player video game,sports video game,single-player video game,sports video game,single-player video game,sports video game,single-player video game,sports video game,single-player video game,sports video game,single-player video game,football video game,sports video game,single-player video game,football video game,single-player video game,sports video game,single-player video game,football video game,sports video game,football video game,single-player videogame,sports video game,single-player videogame,football video game,sports video game,single-player videogame,football video game,single-player videogame,sports video game,single-player videogame,football video game,sports video game,single-player videogame,False
"Who did the music for the film the man outside
",Richard Arnell,David Bowie,James Horner,David Croft,David Bowie,Richard Rodgers,James Horner,David Croft,David Bowie,Richard Rodgers,John Williams,David Croft,Richard Pryor,David Bowie,John Williams,David Bowie,John Williams,David Bowie,John Williams,David Bowie,John Williams,John Williams,David Bowie,John Williams,David Bowie,John Le Carré,John Williams,John Williams,John Le Carré,John Williams,John Le Carré,John Williams,John Le Carré,John Williams,John Le Carré,Richard Rodger,John Williams,Michael Jackson,John Williams,Richard Rodger,John Le Carré,David Lynch,John Williams,Michael Jackson,Peter Gabriel,James Brown,John Le Carré,John Williams,John Williamson,John Williamson,John Williamson,False
"which artist performs carnatic music?
",Palghat Mani Iyer,A.R. Rahman,Vijay Sethu,A.R. Rahman,Vijay Shankar,Siddharth,Mani Ratnam,Siddhartha,A. R. Rahman,A.R. Rahman,A.R. Rahul,Vijay Shankar,Mani Shankar,Mani Ratnam,Arunachalam,A.R. Rahul,Dharmaraja,Yash Raja,Mani Shankar,A. R. Rahman,Mani Ratnam,A.R. Rahman,Mani Ratna,Yash Raja,Dharmaraja,Arunachalam,Sreyasachi,Sreyaraja,Yash Raja,Yash Raj,Yash Rajah,Dharmaraja,A.R. Rahman,Yash Raja,Yash Raj,Sivaji,Sreejith,Dhanush,Dharmaraja,Vikram,Dharmarajah,Yash Raj,Arjuna,Yash Raja,Dhanush,Mani Shankar Rao,Sreyasachi,Vikram,Dharmaraj,Yash Raj,A.R.R.,False
"where was kseniya rappoport given birth
",Saint Petersburg,Moscow,Moscow,Odesa,Skopje,Moscow,Yerevan,Moscow,Odesa,Skopje,Moscow,Yerevan,Odessa,Odesa,Skopje,Moscow,Moscow,Odesa,Odessa,Skopje,Saint Petersburg,Moscow,Odesa,Skopje,Odessa,Saint Petersburg,Moscow,Moscow,Odesa,Saint Petersburg,Skopje,Odessa,Moscow,Saint Petersburg,Skopje,Moscow,Saint Petersburg,Moscow,Skopje,Moscow,Skopje,Moscow,Moscow,Skopje,Moscow,Skopje,Moscow,Moscow,Skopje,Moscow,Skopje,False
"what is the gender of sean dundee
",male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,False
"what sex is thomas day
",male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,males,female,males,female,female,male,False
"where did pat roach die
",Bromsgrove,New York City,Los Angeles,New York City,Los Angeles,New York City,Los Angeles,New York City,Los Angeles,New York City,Los Angeles,New York City,Los Angeles,New York City,Los Angeles,New York City,Los Angeles,Los Angeles,New York City,Los Angeles,New York City,Los Angeles,San Francisco,Los Angeles,San Francisco,Los Angeles,San Francisco,Los Angeles,Fort Lauderdale,San Francisco,Los Angeles,San Francisco,San Diego,Miami Beach,Los Angeles,San Francisco,San Diego,Fort Worth,Los Angeles,San Diego,Los Angeles,Los Angeles,Chicago,Chicago,Los Angeles,Chicago,Chicago,Philadelphia,Miami,Miami Gardens,Los Angeles County,False
"what city is in geneva county
",Slocomb,Elkton,Odessa,Elkton,St. Louis,Odessa,Elkton,St. Louis,Elmira,Odessa,Sutton Coldfield,Elkton,St. Louis,Elmira,Odessa,Elkton,St. Louis,Elmira,St. Louis,Elmira,Odessa,Elmira,Ogden,Elmira,La Crosse,St. Paul,The Villages,St. Louis County,La Crosse,Avondale,St. Louis County,The Villages,The Villages,St. Louis County,Ames,St. Louis County,Utica,Elmira County,St. Louis City,The Villages,Upton,St. Louis County,Ames,Ogdenville,Ames,Elmira Township,Newark,Newark,La Crosse County,Avon Lake,Avondale Beach,False
"john b. calhoun is a citizen of what country?
",United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United States of America,United Kingdom,United Kingdom,United States of America,Republic of Ireland,United Kingdom,United States of America,United Kingdom,Republic of Ireland,United States of America,United States Of America,United Kingdom,United States of America,United Kingdom,United States Of America,United Kingdom,United States of America,United States Of America,United Kingdom,United States of America,United States of America.,United States Of America,United Kingdom,United Kingdom,United States Of America,United States of America.,United States Of America,United Kingdom,False
"where was barbara mularczyk born
",Wrocław,Warsaw,Warsaw,Kraków,Warsaw,Kraków,Warsaw,Zakopane,Kraków,Warsaw,Warsaw,Kraków,Warsaw,Kraków,Warsaw,Kraków,Warsaw,Kraków,Warsaw,Kraków,Warsaw,Kraków,Poznan,Warsaw,Kraków,Warsaw,Odesa,Pomona,Kraków,Warsaw,Warsaw,Kraków,Warsaw,Kraków,Warsaw,Kraków,Warsaw,Kraków,Warsaw,Lviv,Opole,Warsaw,Warsaw,"Warsaw, Poland",Warsaw,"Warsaw, Poland","Warsaw, Poland","Warsaw, Poland","Warsaw, Poland","Warsaw, Poland",Zakopané,True
"how would a person classify moscow on the hudson
",drama film,Moscow,Moscow,Moscow,Moscow,Moscow,Soviet Union,Moscow,Soviet Union,Moscow,Soviet Union,Moscow,Moscow,Soviet Union,Moscow,Moscow,Moscow,Moscow,Russian Federation,Moscow,city-state,Russian Federation,Moscow,Russian Federation,Moscow,Russian Empire,Moscow,Russian Federation,Moscow,Russian Empire,Russian Federation,Moscow,Russian Empire,city,Russian Federation,city,Russian Empire,Russian Federation,city,city of Moscow,city center,city,Russian Empire,city,city center,city,city,city of Moscow,city center,city,city,False
"What is joe kracher's gender?
",male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,male,female,female,female,female,female,female,female,female,female,female,female,female,female,female,female,males,female,female,male,males,female,male,males,female,male,False
"who produced halloween resurrection
",Paul Freeman,John Carpenter,John Carpenter,James Wan,David O. Russell,John Carpenter,James Wan,George Lucas,David O. Russell,John Carpenter,John Carpenter,David O. Russell,David Lean,John Carpenter,Kevin Spacey,David O. Russell,Kevin Smith,Kevin Kline,David Lean,John Carpenter,Stephen King,Kevin Smith,John Carpenter,Stephen King,Michael Bay,Kevin Kline,Kevin Smith,John Carpenter,Michael Bay,Kevin Smith,John Carpenter,Michael Bay,John Carpenter,Michael Bay,Michael Bayer,Michael Bay,Michael Mann,David Lynch,Michael Bayer,Kevin Hart,John Carpenter Jr.,Michael Baylis,David Lynch,Michael Bay,Michael Bayer,Michael Baylis,Michael Mann,David Lynch,Michael Bay,Michael Baylis,Michael Mann,False
"what is country did fanni gyarmati originate from
",Hungary,Italy,Hungary,Italy,Hungary,Italy,Hungary,Italy,Hungary,Italy,Hungary,Italy,Hungary,Italy,Hungary,Italy,Hungary,Italy,Hungary,Italy,Hungary,Italy,Hungary,Italy,Hungary,Italy,Hungary,Italy,Hungary,Italy,Hungary,Italy,Hungary,Italy,Hungary,Italy,Hungary,Italy,Hungary,Italy,Hungary,Italy,Hungary,Italy,Hungary,Italy,Hungary,Italy,Hungary,Italy,Hungary,False
"What country does morten rasmussen have nationality in
",Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Denmark,Norway,Denmark,Norway,Denmark,Norway,Denmark,Norway,Denmark,Norway,Denmark,Norway,Denmark,Norway,Denmark,Norway,Denmark,Norway,Denmark,Norway,Sweden,Denmark,Norway,Sweden,Denmark,Norway,United Kingdom,Sweden,Denmark,Norway,Germany,Sweden,Norway,Germany,Sweden,Norway,Denmark.,Denmark.,False
"what genre is the artist carl weingarten
",Americana,rock music,rock music,alternative rock,rock music,alternative rock,rock music,alternative rock,rock music,alternative rock,rock music,alternative rock,rock music,alternative rock,alternative rock,rock music,pop music,hard rock,alternative rock,rock music,rockabilly,country music,hard rock,jazz,pop music,jazz,alternative rock,rock music,jazz,funk,country music,hard rock,pop music,jazz,funk,alternative rock,folk rock,rock music,jazz,country music,funk,jazz,folk rock,rock music,country music,pop music,rock music genre,rock music genre,rock music genre,rock music genre,rock music genre,False
"audrey williams performs which genre of music?
",country music,country music,country music,country music,alternative rock,country music,alternative rock,country music,alternative rock,country music,alternative rock,rock music,country music,alternative rock,country music,pop music,country music,alternative rock,rock music,country music,jazz,alternative rock,funk,jazz,alternative rock,jazz,rock music,alternative rock,pop music,jazz,country music,jazz,alternative rock,pop music,jazz,rock music,country music,jazz,jazz,rock music,pop music,country music,pop rock,pop music,rock music,country music,rock music,country music,pop music,alternative metal,pop music,False
"What is the name of an album that is apart of j-pop genre?
",Koko ni Ita Koto,,The Best of the Best,,The Best of the Best,,The Best of the Best,The Best of J-pop,The Best of J-Pop,,I'm a Girl,The Best of the Best,,,I'll Be There,The Best of the Best,The Best of J-pop,I'm a Star,The Best of J-Pop,,,I'll Be There,The Best of the Best,I'll Be There,Yuri's Dream,,K-pop,The Best of the Best,A Little Bit of Everything,I'll Be There,Yuri's Dream,K-pop,A Little Bit of Everything,K-pop,,Yuri's Dream,Yj,The Best of the Best,,A Little Bit of Everything,Yuri's Song,Yj,X-Men,,Yuri's Dream,,X-Men,Yuri,Yj,Yuri's Song,Yuri's Dream,False
"which language is spoken in temmink: the ultimate fight
",Dutch,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,Japanese,English,Japanese,English,Russian,Japanese,English,Russian,Japanese,Russian,Japanese,Russian,Japanese,Russian,Japanese,Russian,Japanese,Russian,Japanese,Russian,Japanese,Russian,Japanese,Russian,Japanese,Russian,Japanese,Russian,False
"what kind of film genre is the movie  der 20. juli
",drama film,drama film,drama film,drama film,drama film,romance film,drama film,romance film,drama film,romance film,drama film,romantic comedy,romance film,romantic comedy,drama film,romance film,romantic comedy,drama film,romantic comedy,romance film,romantic comedy,drama film,romance film,drama film,romance film,drama film,romance film,drama film,drama film,romance film,drama film,romance film,drama film,documentary film,drama film,silent film,drama film,romance film,drama film,documentary film,drama film,silent film,drama film,romance film,drama film,documentary film,drama film,silent film,romance film,documentary film,drama film,False
